START_TIME,END_TIME,PEAK_TIME,PEAK_COUNTS,DURATION_s,SAMPLES
1781355746.7043917,1781355747.520695,1781355746.7043917,428.0,0.8163032531738281,3
1781355755.5035758,1781355755.7043912,1781355755.7043912,411.0,0.20081543922424316,3
1781355960.520695,1781355961.5035756,1781355960.704392,325.0,0.9828805923461914,3
1781355976.5035758,1781355976.704392,1781355976.704392,386.0,0.20081615447998047,3
1781356035.5035758,1781356035.7043912,1781356035.7043912,350.0,0.20081543922424316,3
1781427285.5077207,1781427286.9210165,1781427285.9210155,236.0,1.4132957458496094,4
1781427300.921016,1781427301.9210155,1781427301.9210155,324.0,0.9999995231628418,3
1781427389.921016,1781427390.9210155,1781427390.9210155,235.0,0.9999995231628418,3
1781442101.7894654,1781442102.7894657,1781442101.7894654,374.0,1.000000238418579,3
1781489268.5186386,1781489270.518638,1781489268.5186386,358.0,1.9999992847442627,3
1781499033.518638,1781499035.518638,1781499035.518638,424.0,2.0,3
1781537540.773916,1781537542.7739158,1781537541.7739162,304.0,1.999999761581421,3
1781551292.7739165,1781551294.7739158,1781551293.773916,451.0,1.9999992847442627,3
1781698228.7831528,1781698231.7831528,1781698231.7831528,710.0,3.0,4
1781708623.783152,1781708623.9331214,1781708623.783152,318.0,0.14996933937072754,3
1781708703.7831523,1781708704.7831526,1781708703.7831523,260.0,1.000000238418579,4
1781708712.783152,1781708712.9331214,1781708712.783152,352.0,0.14996933937072754,3
1781708719.783152,1781708719.933122,1781708719.783152,329.0,0.14996981620788574,3
1781708742.7831526,1781708743.783152,1781708742.7831526,298.0,0.9999995231628418,3
1781768714.8389916,1781768715.8389912,1781768715.8389912,374.0,0.9999995231628418,3
1781783258.8389916,1781783259.8389914,1781783259.8389914,336.0,0.9999997615814209,3
1781783305.8389914,1781783306.8389916,1781783306.8389916,304.0,1.000000238418579,3
1781783337.5290496,1781783338.8389916,1781783337.8389914,261.0,1.3099420070648193,4
1781783461.8389914,1781783462.8389916,1781783462.8389916,257.0,1.000000238418579,3
1781783468.8389916,1781783469.8389914,1781783468.8389916,235.0,0.9999997615814209,3
1781783538.8389916,1781783539.8389914,1781783539.8389914,228.0,0.9999997615814209,3
1781783710.8389916,1781783711.8389914,1781783710.8389916,294.0,0.9999997615814209,3
1781783717.8389914,1781783718.8389912,1781783718.8389912,331.0,0.9999997615814209,3
1781783809.8389916,1781783810.8389912,1781783810.8389912,344.0,0.9999995231628418,3
1781783832.8389914,1781783833.838991,1781783833.838991,320.0,0.9999995231628418,3
1781820099.7639377,1781820100.763938,1781820099.7639377,318.0,1.000000238418579,3
