DATE,START,PEAK,END,CLASS,SOURCE,START_DT,END_DT,PEAK_DT,SAMPLES
20260606,03:52,03:59,04:10,C2.1,GOES,2026-06-06 03:52:00+00:00,2026-06-06 04:10:00+00:00,2026-06-06 03:59:00+00:00,1081
20260606,04:10,04:16,04:20,C1.7,GOES,2026-06-06 04:10:00+00:00,2026-06-06 04:20:00+00:00,2026-06-06 04:16:00+00:00,601
20260606,06:23,06:30,06:39,C3.1,GOES,2026-06-06 06:23:00+00:00,2026-06-06 06:39:00+00:00,2026-06-06 06:30:00+00:00,961
20260606,11:49,11:57,12:03,C1.9,GOES,2026-06-06 11:49:00+00:00,2026-06-06 12:03:00+00:00,2026-06-06 11:57:00+00:00,841
20260606,13:04,13:18,13:29,C8.8,GOES,2026-06-06 13:04:00+00:00,2026-06-06 13:29:00+00:00,2026-06-06 13:18:00+00:00,1501
20260606,13:40,14:01,14:28,M1.8,GOES,2026-06-06 13:40:00+00:00,2026-06-06 14:28:00+00:00,2026-06-06 14:01:00+00:00,2881
20260607,01:45,01:53,02:00,C2.0,GOES,2026-06-07 01:45:00+00:00,2026-06-07 02:00:00+00:00,2026-06-07 01:53:00+00:00,901
20260607,02:21,02:30,02:38,C1.9,GOES,2026-06-07 02:21:00+00:00,2026-06-07 02:38:00+00:00,2026-06-07 02:30:00+00:00,1021
20260607,02:38,02:43,02:46,C1.9,GOES,2026-06-07 02:38:00+00:00,2026-06-07 02:46:00+00:00,2026-06-07 02:43:00+00:00,481
20260607,04:10,04:19,04:25,C3.3,GOES,2026-06-07 04:10:00+00:00,2026-06-07 04:25:00+00:00,2026-06-07 04:19:00+00:00,901
20260607,05:27,05:33,05:36,C1.7,GOES,2026-06-07 05:27:00+00:00,2026-06-07 05:36:00+00:00,2026-06-07 05:33:00+00:00,541
20260607,05:41,05:49,05:59,C2.5,GOES,2026-06-07 05:41:00+00:00,2026-06-07 05:59:00+00:00,2026-06-07 05:49:00+00:00,1081
20260607,06:36,06:44,06:48,C1.7,GOES,2026-06-07 06:36:00+00:00,2026-06-07 06:48:00+00:00,2026-06-07 06:44:00+00:00,721
20260607,07:55,08:01,08:08,C1.5,GOES,2026-06-07 07:55:00+00:00,2026-06-07 08:08:00+00:00,2026-06-07 08:01:00+00:00,781
20260607,08:16,08:26,08:30,C2.4,GOES,2026-06-07 08:16:00+00:00,2026-06-07 08:30:00+00:00,2026-06-07 08:26:00+00:00,841
20260607,09:17,09:28,09:39,C1.6,GOES,2026-06-07 09:17:00+00:00,2026-06-07 09:39:00+00:00,2026-06-07 09:28:00+00:00,1321
20260607,13:21,13:30,13:42,C1.4,GOES,2026-06-07 13:21:00+00:00,2026-06-07 13:42:00+00:00,2026-06-07 13:30:00+00:00,1261
20260607,13:42,13:45,13:48,C1.5,GOES,2026-06-07 13:42:00+00:00,2026-06-07 13:48:00+00:00,2026-06-07 13:45:00+00:00,361
20260607,13:50,13:58,14:05,C2.1,GOES,2026-06-07 13:50:00+00:00,2026-06-07 14:05:00+00:00,2026-06-07 13:58:00+00:00,901
20260607,15:41,15:58,16:09,C1.7,GOES,2026-06-07 15:41:00+00:00,2026-06-07 16:09:00+00:00,2026-06-07 15:58:00+00:00,1681
20260607,16:40,16:51,17:02,C1.7,GOES,2026-06-07 16:40:00+00:00,2026-06-07 17:02:00+00:00,2026-06-07 16:51:00+00:00,1321
20260607,16:40,16:51,17:02,C1.6,GOES,2026-06-07 16:40:00+00:00,2026-06-07 17:02:00+00:00,2026-06-07 16:51:00+00:00,1321
20260607,17:43,17:53,18:03,C1.3,GOES,2026-06-07 17:43:00+00:00,2026-06-07 18:03:00+00:00,2026-06-07 17:53:00+00:00,1201
20260607,18:54,19:02,19:06,C1.2,GOES,2026-06-07 18:54:00+00:00,2026-06-07 19:06:00+00:00,2026-06-07 19:02:00+00:00,721
20260607,19:27,19:33,19:47,C1.2,GOES,2026-06-07 19:27:00+00:00,2026-06-07 19:47:00+00:00,2026-06-07 19:33:00+00:00,1201
20260608,02:14,02:28,02:36,C3.1,GOES,2026-06-08 02:14:00+00:00,2026-06-08 02:36:00+00:00,2026-06-08 02:28:00+00:00,1321
20260608,02:36,02:49,02:57,C7.2,GOES,2026-06-08 02:36:00+00:00,2026-06-08 02:57:00+00:00,2026-06-08 02:49:00+00:00,1261
20260608,04:13,04:21,04:28,C1.6,GOES,2026-06-08 04:13:00+00:00,2026-06-08 04:28:00+00:00,2026-06-08 04:21:00+00:00,901
20260608,05:00,05:10,05:14,C4.5,GOES,2026-06-08 05:00:00+00:00,2026-06-08 05:14:00+00:00,2026-06-08 05:10:00+00:00,841
20260608,06:31,06:38,06:43,C1.5,GOES,2026-06-08 06:31:00+00:00,2026-06-08 06:43:00+00:00,2026-06-08 06:38:00+00:00,721
20260608,08:21,08:29,08:32,C1.3,GOES,2026-06-08 08:21:00+00:00,2026-06-08 08:32:00+00:00,2026-06-08 08:29:00+00:00,661
20260608,12:33,12:41,12:48,C1.5,GOES,2026-06-08 12:33:00+00:00,2026-06-08 12:48:00+00:00,2026-06-08 12:41:00+00:00,901
20260608,17:29,17:33,17:38,C1.3,GOES,2026-06-08 17:29:00+00:00,2026-06-08 17:38:00+00:00,2026-06-08 17:33:00+00:00,541
20260610,00:51,00:59,01:01,C2.6,GOES,2026-06-10 00:51:00+00:00,2026-06-10 01:01:00+00:00,2026-06-10 00:59:00+00:00,601
20260610,01:28,01:33,01:36,C1.0,GOES,2026-06-10 01:28:00+00:00,2026-06-10 01:36:00+00:00,2026-06-10 01:33:00+00:00,481
20260610,12:50,12:59,13:06,B8.7,GOES,2026-06-10 12:50:00+00:00,2026-06-10 13:06:00+00:00,2026-06-10 12:59:00+00:00,961
20260610,13:17,13:26,13:35,C1.5,GOES,2026-06-10 13:17:00+00:00,2026-06-10 13:35:00+00:00,2026-06-10 13:26:00+00:00,1081
20260610,22:36,22:43,22:50,B9.2,GOES,2026-06-10 22:36:00+00:00,2026-06-10 22:50:00+00:00,2026-06-10 22:43:00+00:00,841
20260611,00:37,00:44,00:46,C6.1,GOES,2026-06-11 00:37:00+00:00,2026-06-11 00:46:00+00:00,2026-06-11 00:44:00+00:00,541
20260611,04:28,04:41,05:04,C1.0,GOES,2026-06-11 04:28:00+00:00,2026-06-11 05:04:00+00:00,2026-06-11 04:41:00+00:00,2161
20260611,06:38,06:47,06:56,C1.2,GOES,2026-06-11 06:38:00+00:00,2026-06-11 06:56:00+00:00,2026-06-11 06:47:00+00:00,1081
20260611,08:00,08:07,08:11,C1.5,GOES,2026-06-11 08:00:00+00:00,2026-06-11 08:11:00+00:00,2026-06-11 08:07:00+00:00,661
20260611,08:22,08:28,08:32,C9.0,GOES,2026-06-11 08:22:00+00:00,2026-06-11 08:32:00+00:00,2026-06-11 08:28:00+00:00,601
20260611,11:24,11:36,11:44,C1.3,GOES,2026-06-11 11:24:00+00:00,2026-06-11 11:44:00+00:00,2026-06-11 11:36:00+00:00,1201
20260611,17:06,17:14,17:22,C1.1,GOES,2026-06-11 17:06:00+00:00,2026-06-11 17:22:00+00:00,2026-06-11 17:14:00+00:00,961
20260611,20:05,20:18,20:41,C1.1,GOES,2026-06-11 20:05:00+00:00,2026-06-11 20:41:00+00:00,2026-06-11 20:18:00+00:00,2161
20260611,21:32,21:40,21:47,C1.5,GOES,2026-06-11 21:32:00+00:00,2026-06-11 21:47:00+00:00,2026-06-11 21:40:00+00:00,901
20260612,02:04,02:14,02:18,C5.2,GOES,2026-06-12 02:04:00+00:00,2026-06-12 02:18:00+00:00,2026-06-12 02:14:00+00:00,841
20260612,02:25,02:35,02:45,C2.0,GOES,2026-06-12 02:25:00+00:00,2026-06-12 02:45:00+00:00,2026-06-12 02:35:00+00:00,1201
20260612,12:12,12:18,12:23,C1.0,GOES,2026-06-12 12:12:00+00:00,2026-06-12 12:23:00+00:00,2026-06-12 12:18:00+00:00,661
20260613,02:00,02:18,02:40,C1.8,GOES,2026-06-13 02:00:00+00:00,2026-06-13 02:40:00+00:00,2026-06-13 02:18:00+00:00,2401
20260613,06:44,06:53,07:03,C1.0,GOES,2026-06-13 06:44:00+00:00,2026-06-13 07:03:00+00:00,2026-06-13 06:53:00+00:00,1141
20260613,12:40,13:09,13:46,C2.5,GOES,2026-06-13 12:40:00+00:00,2026-06-13 13:46:00+00:00,2026-06-13 13:09:00+00:00,3961
20260614,08:48,08:55,09:05,C1.5,GOES,2026-06-14 08:48:00+00:00,2026-06-14 09:05:00+00:00,2026-06-14 08:55:00+00:00,1021
20260614,10:40,10:51,10:59,B9.1,GOES,2026-06-14 10:40:00+00:00,2026-06-14 10:59:00+00:00,2026-06-14 10:51:00+00:00,1141
20260614,12:14,12:22,12:31,B9.9,GOES,2026-06-14 12:14:00+00:00,2026-06-14 12:31:00+00:00,2026-06-14 12:22:00+00:00,1021
20260614,12:31,12:36,12:39,C1.0,GOES,2026-06-14 12:31:00+00:00,2026-06-14 12:39:00+00:00,2026-06-14 12:36:00+00:00,481
20260614,12:51,13:02,13:08,C1.2,GOES,2026-06-14 12:51:00+00:00,2026-06-14 13:08:00+00:00,2026-06-14 13:02:00+00:00,1021
20260615,01:50,02:14,02:21,C1.7,GOES,2026-06-15 01:50:00+00:00,2026-06-15 02:21:00+00:00,2026-06-15 02:14:00+00:00,1861
20260615,07:31,07:38,07:47,B9.9,GOES,2026-06-15 07:31:00+00:00,2026-06-15 07:47:00+00:00,2026-06-15 07:38:00+00:00,961
20260615,09:48,09:56,10:00,C1.7,GOES,2026-06-15 09:48:00+00:00,2026-06-15 10:00:00+00:00,2026-06-15 09:56:00+00:00,720
20260615,11:44,11:52,11:55,C1.4,GOES,2026-06-15 11:44:00+00:00,2026-06-15 11:55:00+00:00,2026-06-15 11:52:00+00:00,661
20260615,13:12,13:15,13:17,C1.8,GOES,2026-06-15 13:12:00+00:00,2026-06-15 13:17:00+00:00,2026-06-15 13:15:00+00:00,301
20260615,18:46,18:51,18:53,C1.8,GOES,2026-06-15 18:46:00+00:00,2026-06-15 18:53:00+00:00,2026-06-15 18:51:00+00:00,421
20260615,20:17,20:26,20:29,B7.3,GOES,2026-06-15 20:17:00+00:00,2026-06-15 20:29:00+00:00,2026-06-15 20:26:00+00:00,721
20260615,20:29,20:38,20:40,B9.4,GOES,2026-06-15 20:29:00+00:00,2026-06-15 20:40:00+00:00,2026-06-15 20:38:00+00:00,661
20260616,00:43,00:48,00:50,C1.5,GOES,2026-06-16 00:43:00+00:00,2026-06-16 00:50:00+00:00,2026-06-16 00:48:00+00:00,421
20260616,05:03,05:09,05:18,B7.0,GOES,2026-06-16 05:03:00+00:00,2026-06-16 05:18:00+00:00,2026-06-16 05:09:00+00:00,901
20260616,15:29,15:32,15:34,C1.0,GOES,2026-06-16 15:29:00+00:00,2026-06-16 15:34:00+00:00,2026-06-16 15:32:00+00:00,301
20260616,17:47,17:53,18:00,B8.4,GOES,2026-06-16 17:47:00+00:00,2026-06-16 18:00:00+00:00,2026-06-16 17:53:00+00:00,781
20260616,21:10,21:18,21:20,B8.6,GOES,2026-06-16 21:10:00+00:00,2026-06-16 21:20:00+00:00,2026-06-16 21:18:00+00:00,601
20260616,22:45,22:52,22:57,B6.7,GOES,2026-06-16 22:45:00+00:00,2026-06-16 22:57:00+00:00,2026-06-16 22:52:00+00:00,721
20260616,23:51,23:56,23:58,B7.6,GOES,2026-06-16 23:51:00+00:00,2026-06-16 23:58:00+00:00,2026-06-16 23:56:00+00:00,421
