START,END,PEAK_TIME,PEAK_COUNTS,DURATION_s,MAJORITY_CLASS,SAMPLES
2026-06-06T04:04:06+00:00,2026-06-06T04:04:08+00:00,2026-06-06T04:04:08+00:00,63.0,2.0,,3
2026-06-06T04:04:36+00:00,2026-06-06T04:04:48+00:00,2026-06-06T04:04:44+00:00,77.0,12.0,,13
2026-06-06T04:04:53+00:00,2026-06-06T04:04:57+00:00,2026-06-06T04:04:56+00:00,69.0,4.0,,5
2026-06-06T16:45:27+00:00,2026-06-06T16:45:29+00:00,2026-06-06T16:45:28+00:00,45.0,2.0,,3
2026-06-07T05:34:25+00:00,2026-06-07T05:34:27+00:00,2026-06-07T05:34:25+00:00,40.0,2.0,,3
2026-06-07T11:04:21+00:00,2026-06-07T11:04:23+00:00,2026-06-07T11:04:21+00:00,13.0,2.0,,3
2026-06-07T19:03:08+00:00,2026-06-07T19:03:10+00:00,2026-06-07T19:03:09+00:00,24.0,2.0,,3
2026-06-08T03:18:42+00:00,2026-06-08T03:18:44+00:00,2026-06-08T03:18:44+00:00,85.0,2.0,,3
2026-06-08T12:58:10+00:00,2026-06-08T12:58:12+00:00,2026-06-08T12:58:10+00:00,27.0,2.0,,3
2026-06-08T14:46:37+00:00,2026-06-08T14:46:39+00:00,2026-06-08T14:46:37+00:00,16.0,2.0,,3
2026-06-08T15:59:41+00:00,2026-06-08T15:59:43+00:00,2026-06-08T15:59:42+00:00,22.0,2.0,,3
2026-06-08T16:24:46+00:00,2026-06-08T16:24:48+00:00,2026-06-08T16:24:48+00:00,25.0,2.0,,3
2026-06-08T17:33:30+00:00,2026-06-08T17:33:32+00:00,2026-06-08T17:33:32+00:00,33.0,2.0,,3
2026-06-08T19:24:43+00:00,2026-06-08T19:24:45+00:00,2026-06-08T19:24:43+00:00,12.0,2.0,,3
2026-06-08T22:56:47+00:00,2026-06-08T22:56:50+00:00,2026-06-08T22:56:50+00:00,12.0,3.0,,4
2026-06-10T00:58:44+00:00,2026-06-10T00:58:46+00:00,2026-06-10T00:58:45+00:00,75.0,2.0,,3
2026-06-10T00:58:56+00:00,2026-06-10T00:58:58+00:00,2026-06-10T00:58:57+00:00,72.0,2.0,,3
2026-06-10T00:59:09+00:00,2026-06-10T00:59:13+00:00,2026-06-10T00:59:11+00:00,84.0,4.0,,5
2026-06-10T00:59:17+00:00,2026-06-10T00:59:30+00:00,2026-06-10T00:59:24+00:00,98.0,13.0,,14
2026-06-10T00:59:35+00:00,2026-06-10T00:59:52+00:00,2026-06-10T00:59:40+00:00,89.0,17.0,,18
2026-06-10T00:59:55+00:00,2026-06-10T01:00:01+00:00,2026-06-10T00:59:57+00:00,86.0,6.0,,7
