timestamp,flareLon,solexs,hel1os,flux10,flux100
1702500000,38,620.0,92.0,42.0,5.2
1708600000,43,8500.0,1200.0,4800.0,520.0
1711150000,61,340.0,44.0,18.0,1.8
1712900000,29,190.0,28.0,8.0,0.7
1715180000,55,890.0,135.0,210.0,22.0
1715270000,47,1350.0,198.0,580.0,61.0
1715680000,51,9800.0,1580.0,8900.0,980.0
1718000000,33,160.0,20.0,4.0,0.3
1725980000,63,720.0,108.0,95.0,9.1
1730700000,25,280.0,38.0,11.0,0.9
1749300000,27,2800.0,420.0,1200.0,130.0
1749390000,33,3200.0,510.0,1800.0,190.0
1749650000,41,950.0,140.0,280.0,29.0
1749820000,52,310.0,45.0,14.0,1.1
1749910000,46,5800.0,890.0,3200.0,345.0
1750000000,59,220.0,31.0,9.0,0.7
1750170000,38,1200.0,182.0,420.0,44.0
1780704061,50,11.802,25.613,4625.239,1799.582048
1780704241,-27,12.235,12.623,0.8503,0.428601
1780704301,46,12.412,9.236,0.3122,0.118465
1780704541,-22,12.858,3.324,0.011,0.001805
1780704661,-36,12.803,5.275,0.0158,0.005432
1780704781,29,12.893,3.312,0.01,0.0015
1780704961,72,13.073,1.0,0.01,0.001
1780705261,-30,12.963,1.061,0.01,0.001
1780706281,-51,12.808,10.502,0.1403,0.03653
1780707241,-38,12.877,7.798,0.036,0.011398
1780707301,-7,13.038,9.045,0.1454,0.071792
1780707601,22,15.537,76.459,309251409726.3216,122245984915.51848
1780707841,-11,19.517,100.635,1091004023489.7162,562393399233.7911
1780708321,29,25.033,2.055,0.01,0.001186
1780708441,55,24.668,1.785,0.0146,0.001379
1780708621,34,23.268,2.033,0.01,0.001157
1780708681,-6,22.65,1.726,0.0114,0.001176
1780709341,-37,15.918,1.127,0.01,0.001
1780709641,18,13.22,1.029,0.011,0.001032
1780709881,72,11.413,1.03,0.0106,0.001
1780710301,44,11.735,32.519,242224.8013,119595.519207
1780710961,3,11.073,1.0,0.01,0.001
1780711021,23,10.822,1.0,0.01,0.001
1780711501,14,14.505,99.272,9.767573769418131e+16,4.448529897382759e+16
1780711561,49,15.133,86.091,74719589962344.77,29842142906179.234
1780711801,25,17.333,4.896,0.0224,0.004891
1780711981,-47,17.9,1.352,0.0111,0.001158
1780712221,-24,18.17,14.006,0.3434,0.132577
1780712401,28,18.203,2.084,0.01,0.001021
1780712701,-19,16.117,1.079,0.0119,0.0011
1780712881,59,15.508,1.24,0.0103,0.001094
1780713181,-37,14.455,1.471,0.01,0.001
1780713241,-20,14.435,1.241,0.01,0.001
1780713481,31,13.035,1.0,0.0121,0.001
1780713661,61,12.183,1.174,0.0121,0.001196
1780713781,16,11.765,1.07,0.01,0.001042
