INSTRUMENTS,NUM_INSTRUMENTS,PEAK_TIME,PEAK_TIME_DELTA_S,PEAK_COUNTS,START_TIME,END_TIME,DURATION_s,SAMPLES
HEL1OS+HEL1OS,1,1781355746.7043917,8.999999523162842,428.0,1781355746.7043917,1781355747.520695,0.8163032531738281,3
HEL1OS+HEL1OS+HEL1OS,1,1781355960.704392,74.99999928474426,325.0,1781355960.520695,1781355961.5035756,0.9828805923461914,3
HEL1OS+HEL1OS+HEL1OS,1,1781427285.9210155,105.0,236.0,1781427285.5077207,1781427286.9210165,1.4132957458496094,4
HEL1OS,1,1781442101.7894654,0.0,374.0,1781442101.7894654,1781442102.7894657,1.000000238418579,3
HEL1OS,1,1781489268.5186386,0.0,358.0,1781489268.5186386,1781489270.518638,1.9999992847442627,3
HEL1OS,1,1781499035.518638,0.0,424.0,1781499033.518638,1781499035.518638,2.0,3
HEL1OS,1,1781537541.7739162,0.0,304.0,1781537540.773916,1781537542.7739158,1.999999761581421,3
HEL1OS,1,1781551293.773916,0.0,451.0,1781551292.7739165,1781551294.7739158,1.9999992847442627,3
HEL1OS,1,1781698231.7831528,0.0,710.0,1781698228.7831528,1781698231.7831528,3.0,4
HEL1OS+HEL1OS+HEL1OS+HEL1OS+HEL1OS,1,1781708623.783152,119.00000047683716,318.0,1781708623.783152,1781708623.9331214,0.1499693393707275,3
HEL1OS,1,1781768715.8389912,0.0,374.0,1781768714.8389916,1781768715.8389912,0.9999995231628418,3
HEL1OS+HEL1OS+HEL1OS,1,1781783259.8389914,78.0,336.0,1781783258.8389916,1781783259.8389914,0.9999997615814208,3
HEL1OS+HEL1OS+HEL1OS,1,1781783462.8389916,76.99999976158142,257.0,1781783461.8389914,1781783462.8389916,1.000000238418579,3
HEL1OS+HEL1OS+HEL1OS,1,1781783710.8389916,99.99999952316284,294.0,1781783710.8389916,1781783711.8389914,0.9999997615814208,3
HEL1OS,1,1781783833.838991,0.0,320.0,1781783832.8389914,1781783833.838991,0.9999995231628418,3
HEL1OS,1,1781820099.7639377,0.0,318.0,1781820099.7639377,1781820100.763938,1.000000238418579,3
SoLEXS,1,,0.0,63.0,,,2.0,3
SoLEXS,1,,0.0,77.0,,,12.0,13
SoLEXS,1,,0.0,69.0,,,4.0,5
SoLEXS,1,,0.0,45.0,,,2.0,3
SoLEXS,1,,0.0,40.0,,,2.0,3
SoLEXS,1,,0.0,13.0,,,2.0,3
SoLEXS,1,,0.0,24.0,,,2.0,3
SoLEXS,1,,0.0,85.0,,,2.0,3
SoLEXS,1,,0.0,27.0,,,2.0,3
SoLEXS,1,,0.0,16.0,,,2.0,3
SoLEXS,1,,0.0,22.0,,,2.0,3
SoLEXS,1,,0.0,25.0,,,2.0,3
SoLEXS,1,,0.0,33.0,,,2.0,3
SoLEXS,1,,0.0,12.0,,,2.0,3
SoLEXS,1,,0.0,12.0,,,3.0,4
SoLEXS,1,,0.0,75.0,,,2.0,3
SoLEXS,1,,0.0,72.0,,,2.0,3
SoLEXS,1,,0.0,84.0,,,4.0,5
SoLEXS,1,,0.0,98.0,,,13.0,14
SoLEXS,1,,0.0,89.0,,,17.0,18
SoLEXS,1,,0.0,86.0,,,6.0,7
SoLEXS,1,,0.0,85.0,,,3.0,4
SoLEXS,1,,0.0,81.0,,,3.0,4
SoLEXS,1,,0.0,77.0,,,3.0,4
SoLEXS,1,,0.0,26.0,,,2.0,3
SoLEXS,1,,0.0,21.0,,,2.0,3
SoLEXS,1,,0.0,16.0,,,2.0,3
SoLEXS,1,,0.0,12.0,,,2.0,3
SoLEXS,1,,0.0,16.0,,,2.0,3
SoLEXS,1,,0.0,10.0,,,2.0,3
SoLEXS,1,,0.0,9.0,,,2.0,3
SoLEXS,1,,0.0,51.0,,,2.0,3
SoLEXS,1,,0.0,15.0,,,2.0,3
SoLEXS,1,,0.0,14.0,,,2.0,3
SoLEXS,1,,0.0,16.0,,,2.0,3
SoLEXS,1,,0.0,11.0,,,2.0,3
SoLEXS,1,,0.0,29.0,,,2.0,3
SoLEXS,1,,0.0,8.0,,,2.0,3
SoLEXS,1,,0.0,11.0,,,2.0,3
SoLEXS,1,,0.0,28.0,,,2.0,3
SoLEXS,1,,0.0,16.0,,,2.0,3
SoLEXS,1,,0.0,17.0,,,2.0,3
SoLEXS,1,,0.0,18.0,,,2.0,3
SoLEXS,1,,0.0,11.0,,,2.0,3
SoLEXS,1,,0.0,10.0,,,2.0,3
SoLEXS,1,,0.0,10.0,,,2.0,3
SoLEXS,1,,0.0,11.0,,,2.0,3
SoLEXS,1,,0.0,8.0,,,2.0,3
SoLEXS,1,,0.0,29.0,,,2.0,3
SoLEXS,1,,0.0,7.0,,,2.0,3
SoLEXS,1,,0.0,14.0,,,2.0,3
SoLEXS,1,,0.0,9.0,,,2.0,3
SoLEXS,1,,0.0,14.0,,,2.0,3
SoLEXS,1,,0.0,18.0,,,2.0,3
SoLEXS,1,,0.0,22.0,,,2.0,3
SoLEXS,1,,0.0,21.0,,,2.0,3
SoLEXS,1,,0.0,54.0,,,3.0,4
SoLEXS,1,,0.0,53.0,,,3.0,4
SoLEXS,1,,0.0,51.0,,,4.0,5
SoLEXS,1,,0.0,52.0,,,2.0,3
SoLEXS,1,,0.0,19.0,,,2.0,3
SoLEXS,1,,0.0,24.0,,,3.0,4
SoLEXS,1,,0.0,95.0,,,39.0,40
SoLEXS,1,,0.0,44.0,,,2.0,3
SoLEXS,1,,0.0,19.0,,,10.0,11
SoLEXS,1,,0.0,59.0,,,2.0,3
SoLEXS,1,,0.0,59.0,,,3.0,4
SoLEXS,1,,0.0,91.0,,,29.0,30
SoLEXS,1,,0.0,77.0,,,13.0,14
SoLEXS,1,,0.0,25.0,,,2.0,3
